Room,R² Score (LR),MAE (LR),R² Score (RF),MAE (RF),Volume,Temperature,Cluster
LE-001,0.0515064308230205,3.713429633772241,0.232789829422324,3.1826569916533387,311,"15,0",0
LE-007,0.0186283888245046,3.973877906079065,0.2476765250752504,3.2028053620323407,287,"15,1",0
LE-008,-0.0068339314503547,3.842603070520348,0.2889891762236222,2.862673870229278,232,"15,0",0
LE-015,0.0657837268218953,3.5905771766469994,0.1528308105799277,3.1325443145214185,3800,"12,1",2
LO-103,0.0504625742617645,3.726815811300056,0.3160778932508282,2.8740819174441694,308,"15,9",0
LO-106,0.034533298635912,3.8363452788958696,0.2692392436713698,2.875669319870811,228,"16,1",0
LO-107,0.1636507911821509,3.176206390030233,0.5006340607031952,2.304073800174025,276,"16,7",1
LO-108,0.0202354337027745,3.80079918250778,0.3583659119733497,2.7337036254111955,232,"15,3",0
LO-119,0.2217033956407695,2.9231728315528964,0.3609426186278707,2.5541967508542918,200,"16,4",0
LO-201,0.1699445031389788,2.8462735404448325,0.2104516257948316,2.5431562074764757,231,"16,4",0
LO-202,0.2444211456597312,2.8798460481036208,0.3758850350651489,2.513513879587079,231,"16,9",0
LO-203,0.175879407974395,2.9175830296874907,0.2938596212406679,2.4518882686033305,224,"17,0",0
LO-301,0.2225594823153412,2.9281070020018145,0.2677032087065358,2.5451459682545936,150,"17,2",0
LO-302,0.4102079614481462,2.5640295065363463,0.5601730625167884,2.0985198195789154,153,"17,4",1
LO-304,0.4556908649742281,2.2662583032770485,0.5962224535926023,1.73429503940461,151,"17,8",1
LO-308,0.3012288144269109,2.749024928670139,0.4904740112041745,2.1702086641101785,229,"16,7",1
LO-309,0.2897553278994594,2.8399246049452462,0.4318526000753369,2.4199360765895768,274,"17,2",1
LE-006,0.0047615004278831,4.035142819614078,0.4380646780461313,2.706715889555775,232,"14,3",0
LE-002,-0.0044816198377,3.910222084449771,0.2706410584737215,3.033346100006004,314,"14,3",0
LE-003,0.011941632717059,3.891873031290263,0.3855128661856167,2.7342248858891933,303,"14,8",0
LO-101,0.0616589039721906,3.2138890165003997,0.2951929599107147,2.609908959410868,303,"15,7",0
LO-305,0.3606804103306156,2.571659231842623,0.4980906319792247,2.0596012694746864,301,"17,1",1
LO-102,0.0152381343525445,4.310672832190052,0.1158621760758338,3.9233356667538,309,"16,2",0
